FID_1,ID,AREA,DISTRICT,POPULATION,Sum_AREA,TTLCITIES,POP2000,SRTSFUNDED,SRTSUNFUND,STIPFUNDED,STIPUNFUND,TTLFUNDED,TTLUNFUND
0,406258,87.910989,39B,39435,26.06,2,10064,1,2,0,0,1,2
1,406303,262.435118,25A,39426,69.24,4,8523,1,2,0,3,1,5
2,406332,528.420683,21A,39482,114.93,6,25777,4,3,0,4,4,7
3,406348,21.108778,25B,39762,0,0,0,0,0,0,0,0,0
4,406374,991.391858,21B,39733,116.87,9,15371,2,4,0,7,2,11
5,406395,14.561657,37A,39553,2.02,1,6669,0,0,1,0,1,0
6,406432,24.327201,37B,39686,33.78,1,44956,1,1,0,0,1,1
7,406465,22.367726,42A,39739,13.74,2,22402,1,1,2,0,3,1
8,406498,185.641171,31B,39602,83.5,2,23629,0,2,1,0,1,2
9,406533,41.107634,38B,39598,8.56,1,23979,0,1,2,0,2,1
10,406564,65.623676,38A,39531,71.48,3,26364,0,2,1,0,1,2
11,406598,171.062876,39A,39495,43.44,2,29815,2,2,5,3,7,5
12,406644,267.593043,32B,39488,40.34,2,8978,2,1,4,0,6,1
13,406673,448.767228,32A,39917,16.8,3,10332,0,2,5,0,5,2
14,406698,1639.87027,11B,39581,12.98,3,7674,2,2,0,0,2,2
15,406722,1178.01702,08A,39861,94.53,8,21156,8,4,7,3,15,7
16,406740,2004.03321,04B,39709,26.35,7,17658,9,4,6,0,15,4
17,406780,2780.31867,02B,39808,49,6,7382,5,4,1,3,6,7
18,406808,2929.35459,01B,39676,157.46,8,20469,5,3,17,4,22,7
19,406835,1223.19125,08B,39457,87.43,7,17598,4,2,6,2,10,4
20,406869,1808.54997,09A,39508,26.45,4,8123,3,0,1,0,4,0
21,406890,5864.58816,02A,39725,10.49,4,3388,3,0,4,2,7,2
22,406920,4690.88082,01A,39563,301.89,16,16860,3,5,12,4,15,9
23,406944,314.600324,10A,39314,86.05,5,24045,2,4,1,0,3,4
24,476615,1609.4599,05B,39540,64.33,5,15344,7,1,3,0,10,1
25,476652,2829.04114,10B,39388,38.11,8,6971,4,4,5,1,9,5
26,476683,2275.79992,05A,39367,86.29,5,19560,3,3,7,2,10,5
27,476719,1121.70088,11A,39681,86.07,7,19598,10,1,2,1,12,2
28,476747,2388.64828,06A,39501,197.49,5,23109,5,0,5,0,10,0
29,476772,1766.94322,06B,39616,90.23,2,12173,2,2,0,0,2,2
30,476806,1428.17275,28B,39893,105.9,9,14338,4,2,5,4,9,6
31,476823,426.085476,28A,39525,25.25,2,28589,1,1,0,1,1,2
32,476841,47.071438,07B,39491,87.2,1,86918,8,1,9,0,17,1
33,476869,405.089052,03B,39664,40.56,3,13915,5,1,1,0,6,1
34,476906,127.454156,07A,39416,0,0,0,0,0,0,0,0,0
35,476932,12558.9727,03A,39462,1440.61,13,22993,10,2,12,1,22,3
36,154478,48.783193,04A,39892,19.75,1,32400,0,1,6,7,6,8
37,154503,1763.17169,22B,39513,52.89,7,21160,6,4,11,3,17,7
38,154531,1883.24181,23A,39559,96.62,5,18654,4,2,4,2,8,4
39,154555,2573.47824,22A,39615,84.71,9,15295,5,4,8,0,13,4
40,154579,2110.86823,16A,39701,18.84,7,22128,6,6,14,0,20,6
41,154613,3583.16726,12A,39736,155.81,10,14463,2,3,8,5,10,8
42,154635,1316.86795,16B,39670,55.58,5,23620,1,1,5,0,6,1
43,154659,2396.37662,17A,39388,91.71,9,17749,5,0,12,0,17,0
44,154697,715.065724,17B,39442,51.27,3,20983,3,1,1,0,4,1
45,154715,1251.03061,12B,39621,48.38,5,8771,1,2,3,2,4,4
46,154756,786.14252,18A,39721,126.28,8,26607,2,5,5,2,7,7
47,154786,462.389553,13A,39582,107.27,8,19395,1,4,8,7,9,11
48,154818,1353.59672,23B,39479,40.61,6,11606,8,2,4,0,12,2
49,154853,939.984272,27A,39545,3.17,2,3201,1,2,0,0,1,2
50,154871,746.349476,27B,39743,47.12,2,24040,1,1,4,2,5,3
51,154890,15.848244,26A,39637,54.64,1,89718,3,1,4,3,7,4
52,154926,499.897761,26B,39449,106.56,5,9572,2,1,1,4,3,5
53,154969,505.15555,19A,39572,25.3,3,10760,2,2,1,1,3,3
54,155004,34.148119,19B,39704,19.52,2,34303,5,2,5,4,10,6
55,155028,996.378981,18B,39461,114.9,10,16365,3,2,14,1,17,3
56,155057,426.554314,20A,39681,89.47,6,14405,1,3,2,5,3,8
57,155087,233.57634,24A,39465,19.77,2,30986,1,2,1,0,2,2
58,155103,405.951242,20B,39549,12.42,3,21033,2,2,1,2,3,4
59,155120,327.753987,47A,39470,51.25,7,16946,1,5,3,0,4,5
60,155149,40.855119,47B,39523,50.08,3,42101,0,3,3,0,3,3
61,155183,176.6789,33A,39563,3.15,1,4113,0,1,0,0,0,1
62,240785,66.491849,34A,39921,33.17,2,8437,5,1,3,0,8,1
63,240831,20.511621,34B,39890,34.95,1,50360,1,1,1,0,2,1
64,240866,10.096204,40A,39493,0,0,0,0,0,0,0,0,0
65,240892,18.358517,36B,39423,26.51,1,67388,0,1,3,0,3,1
66,240927,14.900149,36A,39644,23.29,1,61550,0,1,1,0,1,1
67,240961,34.299733,35A,39608,36.91,2,36627,1,1,5,0,6,1
68,240991,32.183345,35B,39439,34.75,1,26605,0,1,0,0,0,1
69,241028,262.345227,31A,39393,23.63,1,4897,0,1,2,0,2,1
70,241053,1005.37833,15A,39434,81.49,5,9162,4,2,5,0,9,2
71,241078,665.437089,24B,39546,16.65,2,21919,0,1,3,0,3,1
72,241098,28.658584,58A,39504,37.74,1,43131,2,0,3,0,5,0
73,241120,16.64047,56B,39728,26.86,1,60220,1,1,3,0,4,1
74,241151,18.732067,50B,39627,38.33,1,85172,1,1,9,0,10,1
75,241179,14.057699,57A,39286,17.53,1,45530,0,1,4,0,4,1
76,241207,21.746797,51A,39687,0,0,0,0,0,0,0,0,0
77,241237,19.606074,51B,39559,33.35,1,63560,1,0,3,0,4,0
78,241259,43.954864,57B,39888,35.13,1,14616,3,1,4,0,7,1
79,241291,9.5841,50A,39571,0,0,0,0,0,0,0,0,0
80,241317,6.656441,61B,39454,0,0,0,0,0,0,0,0,0
81,241356,6.586148,61A,39635,0,0,0,0,0,0,0,0,0
82,241397,3.742993,62B,39729,0,0,0,0,0,0,0,0,0
83,241425,2.692655,62A,39496,57.34,1,382492,8,1,21,0,29,1
84,241451,15.498349,63B,39503,6.99,1,34435,1,1,4,0,5,1
85,241487,6.438193,63A,39668,0,0,0,0,0,0,0,0,0
86,207138,125.452305,55B,39435,35.8,3,20488,6,2,4,0,10,2
87,207165,46.592159,55A,39368,29.25,1,20682,0,1,2,0,2,1
88,207192,20.377046,56A,39640,0,0,0,0,0,0,0,0,0
89,207221,35.200272,33B,39576,8.35,3,14836,1,3,1,0,2,3
90,207256,22.900405,48B,39688,35.11,1,54901,0,1,2,0,2,1
91,207278,19.623523,48A,39458,0,0,0,0,0,0,0,0,0
92,207309,21.989425,44B,39567,28.15,1,51303,1,0,0,0,1,0
93,207344,18.791181,44A,39542,35.25,1,65898,2,1,1,0,3,1
94,207373,23.289181,49B,39820,0,0,0,0,0,0,0,0,0
95,207413,12.880699,49A,39432,15.94,1,47434,1,1,3,0,4,1
96,207447,9.153353,46B,39414,14.93,2,61254,0,1,1,0,1,1
97,207473,16.999155,46A,39386,0,0,0,0,0,0,0,0,0
98,207509,12.019586,45B,39398,16.38,2,42985,1,1,3,0,4,1
99,207546,11.5395,45A,39496,5.08,1,20872,1,1,0,0,1,1
100,207580,66.308568,14A,39770,41.51,2,53967,4,1,3,2,7,3
101,207612,416.886407,29A,39347,71.3,5,12074,2,2,2,1,4,3
102,207654,161.118269,29B,39336,55.33,4,22500,1,2,0,7,1,9
103,207686,80.956786,14B,39758,37.38,2,8530,0,0,2,0,2,0
104,207731,185.789854,13B,39623,15.09,2,18168,5,2,0,0,5,2
105,207775,1252.40277,09B,39536,38.29,4,10944,3,1,1,0,4,1
106,207795,673.874933,15B,39699,16.66,2,3472,3,1,0,1,3,2
107,207825,74.227336,30B,39416,70.19,3,16564,1,2,4,2,5,4
108,207856,87.389978,30A,39450,91.8,3,29295,1,1,1,2,2,3
109,263019,5.881618,59B,39622,0,0,0,0,0,0,0,0,0
110,263056,6.657863,59A,39653,0,0,0,0,0,0,0,0,0
111,263080,11.010809,40B,39573,8.31,1,29153,1,0,2,0,3,0
112,263109,4.642827,60B,39575,0,0,0,0,0,0,0,0,0
113,263138,8.989309,60A,39625,0,0,0,0,0,0,0,0,0
114,263166,8.994409,41B,39579,5.21,2,24182,2,2,2,0,4,2
115,263188,15.400576,41A,39540,17.9,2,49654,2,2,1,0,3,2
116,263220,8.101242,64B,39670,0,0,0,0,0,0,0,0,0
117,263244,7.346842,64A,39630,0,0,0,0,0,0,0,0,0
118,263282,41.379378,52B,39651,40.16,2,41206,1,1,6,0,7,1
119,263317,12.906572,52A,39400,5.01,1,19422,1,1,3,0,4,1
120,263348,9.665497,65B,39412,0,0,0,0,0,0,0,0,0
121,263381,14.444192,66A,39435,16.05,2,39265,0,2,3,0,3,2
122,263417,4.873056,65A,39531,56.05,1,287148,2,1,18,0,20,1
123,263450,6.359185,66B,39440,0,0,0,0,0,0,0,0,0
124,263490,21.213032,42B,39768,0,0,0,0,0,0,0,0,0
125,263523,410.799796,58B,39788,41.26,4,13628,0,2,1,1,1,3
126,263546,36.352103,54A,39741,6.12,1,20126,0,0,1,0,1,0
127,263581,99.599201,54B,39742,122.19,5,53840,1,2,5,0,6,2
128,263607,12.495245,67B,39746,0,0,0,0,0,0,0,0,0
129,263637,17.780464,53A,39648,0,0,0,0,0,0,0,0,0
130,263668,6.105826,67A,39453,0,0,0,0,0,0,0,0,0
131,263695,19.151812,43A,39719,23.68,2,42598,3,1,0,0,3,1
132,263730,14.044511,43B,39688,11.26,1,26610,2,1,1,0,3,1
133,263763,26.618169,53B,39541,0,0,0,0,0,0,0,0,0